code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,langues_enseignees,url_et_id_onisep,date_creation,date_de_modification
0624430D,20003396700015,"lycée général, technologique ou polyvalent",Lycée Gambetta Carnot,,public,Ministère chargé de l'Éducation nationale,,,Collège Gambetta à Arras (62),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15886,BP 40919,25 boulevard Carnot,62022,Arras,62041,Cedex,03 21 21 34 80,,Pas-de-Calais,Lille,Hauts-de-France,32,2.77683,50.2885,,"Allemand, Anglais, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Russe",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6413,06/06/2020,06/01/2025
9730094P,19973094600019,lycée professionnel,Lycée professionnel Jean Marie Michotte,,public,Ministère chargé de l'Éducation nationale,,,,,BP 5018,Boulevard de la République,97305,Cayenne,97302,Cedex,0594 28 11 11,,Guyane,Guyane,Guyane,03,-52.3256076,4.9372279,,Anglais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10461,06/06/2020,13/11/2025
0851642Y,78644708600053,"lycée général, technologique ou polyvalent",Lycée Saint-François d'Assise,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,CS 40299,11 rond-point Charles Sorin,85000,La Roche-sur-Yon,85191,,02 51 37 04 48,,Vendée,Nantes,Pays de la Loire,52,-1.42616,46.6729,,"Allemand, Anglais, Chinois, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2406,06/06/2020,15/10/2025
0110981G,84282716400026,centre de formation professionnelle,École technique privée Esthétique,,privé hors contrat,,,,,,,11 avenue du Général Leclerc,11100,Narbonne,11262,,04 68 41 39 75,,Aude,Montpellier,Occitanie,76,3.00745,43.1822,le 01/07/2026 de 09h00 à 17h00 | le 22/07/2026 de 09h00 à 17h00 | le 05/08/2026 de 09h00 à 17h00 | le 26/08/2026 de 09h00 à 17h00,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14655,06/06/2020,25/06/2026
0931797Y,78562097200048,"lycée général, technologique ou polyvalent",Lycée polyvalent privé La Salle Saint-Denis,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,Collège La Salle Saint-Denis à Saint-Denis (93),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8326,,6-8 place de la Résistance,93200,Saint-Denis,93066,,01 55 87 45 00,,Seine-Saint-Denis,Créteil,Ile-de-France,11,2.35503,48.9328,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15152,06/06/2020,19/03/2026
0271382F,40257517900013,lycée agricole,Lycée agricole privé,,privé sous contrat,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,,,,1711 route de Lisieux,27500,Tourville-sur-Pont-Audemer,27655,,02 32 41 11 15,,Eure,Normandie,Normandie,28,0.513856,49.3434533,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11800,06/06/2020,20/11/2025
0870058R,19870058500013,lycée professionnel,Lycée professionnel Saint-Exupéry,,public,Ministère chargé de l'Éducation nationale,,,,,BP41508,Route du Palais,87036,Limoges,87085,Cedex,05 55 33 18 28,,Haute-Vienne,Limoges,Nouvelle-Aquitaine,75,1.30321,45.8517,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8465,06/06/2020,14/11/2025
0590083V,19590083200013,"lycée général, technologique ou polyvalent",Lycée polyvalent Camille Claudel,,public,Ministère chargé de l'Éducation nationale,,,Collège Camille Claudel à Fourmies (59),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11508,BP 70082,"1 rue Paul Lafargue, Cité scolaire",59613,Fourmies,59249,Cedex,03 27 56 42 00,,Nord,Lille,Hauts-de-France,32,4.0422713756561,50.010903831426,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4444,06/06/2020,12/02/2026
9740479C,19974479800018,lycée professionnel,Lycée professionnel Amiral Lacaze,,public,Ministère chargé de l'Éducation nationale,,,,,BP 192,1 avenue Stanislas Gimart,97493,Saint-Denis,97411,Cedex,02 62 28 37 75,,La Réunion,La Réunion,La Réunion,04,55.4753346,-20.893081,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4976,06/06/2020,09/01/2026
0380035G,19380035600019,"lycée général, technologique ou polyvalent",Lycée polyvalent hôtelier Lesdiguières,,public,Ministère chargé de l'Éducation nationale,,,,,BP 2446,15 avenue Beaumarchais,38034,Grenoble,38185,Cedex 02,04 76 21 38 54,,Isère,Grenoble,Auvergne-Rhône-Alpes,84,5.70935,45.1677,,"Allemand, Anglais, Espagnol, Italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12027,06/06/2020,26/02/2026
