onisep_id,name
16699,Institut Lyfe (ex Institut Paul Bocuse)
16700,École d'ingénieur de l'université de Caen - site de Caen
16725,ENS pour la performance industrielle et la maintenance aéronautique
16732,Cnam Bretagne
16747,Université de Caen Normandie - SUFCA
16752,Département études japonaises
16767,"Sciences Po, campus de Paris"
16821,École nationale supérieure agronomique de Toulouse - Toulouse INP
16823,CESI école d'ingénieurs - campus de Caen
16843,Département Universitaire de Maïeutique - Université Paris Cité - site Necker
16880,École supérieure d'ingénieurs des travaux de la construction de Paris
16881,École nationale de l'aviation civile - campus de Toulouse
16882,École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine
16883,Institut d'administration des entreprises de La Réunion
16951,CESI école d'ingénieurs - campus d'Arras
16975,Université Paris Sciences et Lettres
16982,CESI école d'ingénieurs - campus de Lille
17017,CESI - campus de Brest
17022,École d'ingénieurs du littoral Côte d'Opale - site de Saint-Omer Longuenesse
17051,Cnam Régional Grand Est
17055,École d'ingénieurs en énergies renouvelables
17072,Télécom Saint-Étienne - site de Saint-Étienne
17074,Institut national des sciences appliquées de Toulouse - site de Toulouse
17173,CESI école d'ingénieurs - campus d'Aix-en-Provence
17183,Institut polytechnique UniLaSalle - campus de Beauvais
17202,Kedge Business School
17210,Institut supérieur d'informatique de modélisation et de leurs applications - Clermont Auvergne INP
17281,Builders École d'ingénieurs - site de Caen (ex ESITC Caen)
17287,Institut supérieur de biotechnologies de Paris - campus de Villejuif
17292,Cnam Nouvelle-Aquitaine - site de Poitiers
17294,École nationale supérieure de chimie de Mulhouse
17348,Institut supérieur d'agriculture Rhône-Alpes - campus de Lyon
17359,Cnam Lyon Métropole
17397,Paris School of Business
17504,Campus Valrose Sciences et Ingénierie
17563,Conservatoire national des arts et métiers Bourgogne-Franche-Comté - Chalon-sur-Saône
17573,Cnam Nouvelle-Aquitaine - site de Limoges
17598,ESTP - Grande école d'ingénieurs de la construction - campus de Cachan
17614,Institut national des transports internationaux et des ports
17627,Excelia
17687,EICnam Grand Est - site de Reims
17693,Institut d'optique théorique et appliquée - campus de Saint-Étienne
17720,École nationale du génie de l'eau et de l'environnement de Strasbourg
17721,Institut Agro Rennes-Angers - campus d'Angers
17767,Télécom SudParis - site de Palaiseau
17775,Médiat Rhône-Alpes - Centre régional de formation aux métiers des bibliothèques - site de Villeurbanne
17797,EICnam PACA - site d'Avignon - Académie Vaucluse Provence
17814,Cnam - École nationale du jeu et des médias interactifs numériques
17828,École polytechnique universitaire de l'université d'Angers
17836,FORMASUP Méditerranée
17876,CESI école d'ingénieurs - campus de Toulouse
17889,JUNIA Institut supérieur d'agriculture
17898,École nationale supérieure d'architecture Paris Malaquais - PSL
17912,Département de la formation et des Etudes Doctorales (DFED) de Institut de physique du globe de Paris
17914,Muséum national d'histoire naturelle
17949,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Chalon-sur-Saône
17975,"École nationale supérieure d'électronique, informatique, télécommunications, mathématiques et mécanique de Bordeaux"
17981,École spéciale d'architecture
17997,ESDES Business School
18003,Département Eurasie
18004,Département études hébraïques et juives
18005,Département études arabes
18061,Institut national des sciences appliquées Centre-Val de Loire - site de Blois
18081,Institut international du commerce et du développement - Igensia Education
18192,École supérieure d'ingénieurs de Rennes - campus de Rennes
18195,CESI école d'ingénieurs - campus d'Orléans
18248,UFR Santé
18333,Cnam Nouvelle-Aquitaine - site de Bordeaux
18345,Conservatoire national des arts et métiers de la Guadeloupe
18359,INSEEC
18366,TBS Education
18369,École supérieure angevine d'informatique et de productique - site d'Angers
18402,Gobelins Paris - Campus Gambetta
18450,Institut littoral urbain durable intelligent
18486,École nationale supérieure d'ingénieurs de Caen et centre de recherche
18499,Télécom SudParis - site d'Évry
18515,Sciences Po Saint-Germain-en-Laye
18528,École d'ingénieurs des sciences aérospatiales - campus de Saint-Quentin
18577,UFR des sciences et techniques
18581,École nationale supérieure en génie des systèmes et de l'innovation
18587,École d'ingénieurs du littoral Côte d'Opale - site de Calais
18654,EICnam Pays-de-la-Loire - site de La Roche-sur-Yon
18673,École d'ingénieurs de l'université de Caen - site de Cherbourg-en-Cotentin
18679,Institut Agro Dijon
18681,École nationale d'ingénieurs de Metz
18688,CESI école d'ingénieurs - campus de Lyon
18712,CESI école d'ingénieurs - campus de Nice
18742,CESI école d'ingénieurs - campus de La Rochelle
18776,EICnam Grand Est - site de Strasbourg
18777,EICnam Grand Est - site de Nancy
18778,EICnam Paris et Ile-de-France - campus de Paris
18780,Institut catholique d'arts et métiers - site de Toulouse
18789,Cnam Pays-de-la-Loire
18796,Filière traitement automatique des langues
