Etablissement,Siret,# adhérent,Conférence,UAI,Acronyme,Type de structure,Statut,Nom de marque,Type de formation,Commentaire,Campus
Ecole Nationale d'Ingénieurs de Metz,19570140400020,673,"CGE, CDEFI",0570140T,ENI Metz,EPA,Public,,Ingénieur,,
Ecole Nationale d'Ingénieurs de Brest,39280706100024,672,CGE,0290119X,ENI Brest,EPSCP,Public,,Ingénieur,,
"Ecole nationale du génie de l'eau et de
  l'environnement de Strasbourg",19670189000028,671,"CGE, CDEFI",0670189S,ENGEES,EPA,Public,,Ingénieur,,
Ecole nationale de l'aviation civile,19311256200015,669,CGE,0311256X,ENAC,EPSCP # Grand établissement,Public,,Ingénieur,,
Ecole navale,15000096600013,667,CGE,0290124C,EN,EPSCP # Grand établissement,Public,,Ingénieur,,
emlyon Business School,95950473900076,659,CGE,0421601M,emlyon Business School,SA # Société à mission,Privé,emlyon business school ,Manager,,
Ecole de Management Léonard de Vinci,81000402800017,925,CGE,0922369A,EMLV,Association loi 1901,Privé,EMLV,Manager,,
Ecole de Management de Strasbourg,13000545700051,662,CGE,0681816E,EM Strasbourg,,Public,EM Strasbourg Business School,Manager,,
Ecole de Management de Normandie,47980663000055,661,CGE,0760168V,EM Normandie,Association loi 1901 # EESPIG,Privé,EM Normandie,Manager,,
École d’ingénieurs des sciences aérospatiales,51283730300043, ,CDEFI,,ELISA Aerospace,,,,,,
"Eklore-ed School of Management (ex ESC
  Pau)",18640002400060,741,CGE,0640096G,eklore-ed School of Management,Consulaire,Eklore-ed School of Management,Manager,,,
Ecole des Ingénieurs de la Ville de Paris,20000069300024,658,"CGE, CDEFI",0750043P,EIVP,,Public,,Ingénieur,,
École d'ingénieurs en sciences industrielles et numérique,19511296600799, ,CDEFI,,EiSINe,,,,,,
École d'ingénieurs du Littoral Côte d'Opale,19594403800205,81,"CDEFI, FU",,EIL Côte d'Opale,,,,,,
École d'ingénieurs Jules Verne - Université d'Amiens,19801344300900, ,CDEFI,,EIJV,,,,,,
"Ecole d'ingénieurs généralistes La
  Rochelle",35340877600022,656,"CGE, CDEFI",0171435T,EIGSI,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
École d'ingénieurs Denis Diderot de l'université Paris Cité,13002573700011,5,"CDEFI, FU",,EIDD,,,,,,
École d'ingénieurs du conservatoire national des arts et métiers,19753471200470, ,CDEFI,,EICnam,,,,,,
École d'ingénieurs de l'Artois - Université d'Artois,19624401600016, ,CDEFI,,EIA,,,,,,
Ecole des hautes études en santé publique,13000362700010,652 ; 95,"CGE, FU",0350095N,EHESP,EPSCP # Grand établissement,Public,,Autre spécialité,,
EFREI Paris,39889833800023,930,"CGE, CDEFI",0941934S,EFREI Paris,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
"Ecole Européenne d'Ingénieurs en Génie
  des Matériaux",13001550600335,973,"CGE, CDEFI",0542259M,EEIGM,EPA,Public,EEIGM,Ingénieur,,
EDHEC Business School,78370706000068,650,CGE,0590350K,EDHEC Business School,Association loi 1901 # EESPIG,Privé,EDHEC BUSINESS SCHOOL,Manager,,
EDC Paris Business School,40249993300032,648,CGE,0922007G,EDC,Association loi 1901,Privé,EDC PARIS BUSINESS SCHOOL,Manager,,
